mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7823049545288085,0.3481769950487143,0.017405939102172852,0.0014956795055309404,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",-1724386936704.5984,-1692896391923.743,-1835000441497.1902,-1927432626703.618,-1638760522316.635,-1763695383829.157,103981408765.69417,27
0.9584415435791016,0.016594380490120235,0.023522186279296874,0.002187245029848209,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-1491300390300.956,-1448720208837.306,-1583625935993.0627,-1661470437129.5117,-1399562260426.3718,-1516935846537.4417,94260197823.97842,25
1.6585575103759767,0.015552815767731735,0.039496326446533205,0.0035398322020047833,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-1275631164179.3938,-1249153044292.6738,-1364890835004.6965,-1437129515960.4907,-1198423425723.3809,-1305045597032.127,85305436959.01234,23
0.7819908142089844,0.010478656602012571,0.02520451545715332,0.0007558273822036722,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",-1529801076397.6855,-1512880126898.5251,-1595006367568.9248,-1722138483063.683,-1475853606965.3015,-1567135932178.824,86570894310.78613,26
1.3661640644073487,0.07985594225356563,0.03830776214599609,0.003387411870169971,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-1223451040311.884,-1201017489710.0925,-1219693388861.0808,-1367572796881.7192,-1186471934976.991,-1239641330148.3538,65338031283.8218,22
2.3295733451843263,0.04321638513102027,0.0647099494934082,0.0036476683759624536,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-977463403064.1875,-956552059530.4249,-962088280996.2251,-1093886157408.0814,-940552805683.4044,-986108541336.4646,55166360250.21546,19
0.9869215965270997,0.03029501654398117,0.027206039428710936,0.002945389000168625,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",-1354056754567.185,-1373821534444.4487,-1421786313474.22,-1553937863017.9631,-1328920214650.0151,-1406504536030.7664,79760132805.305,24
1.6877171516418457,0.020358847550324837,0.049509429931640626,0.0018728481312351086,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",-970925527126.6937,-991131517635.9727,-992931694689.5049,-1125579104563.047,-949118299356.1261,-1005937228674.2689,61897885963.707634,20
3.663986253738403,0.6211520561486803,0.09081401824951171,0.006895418173913621,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",-686097105176.9639,-718071510660.8894,-677388800886.881,-812183538614.4688,-682122838205.338,-715172758708.9082,50566416766.59111,12
0.5852442741394043,0.012734145617019223,0.016797685623168947,0.0021360802576353088,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-1045311925353.7399,-1056047294928.8667,-1158679436712.3303,-1180712409280.1848,-1006907128987.1583,-1089531639052.4558,67821449151.49874,21
