mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.126482343673706,0.017770836429552246,0.06312518119812012,0.018305320435541467,,2,"{'max_depth': None, 'min_samples_split': 2}",-116577234758.52328,-90726193925.42688,-116107928221.55693,-143936447800.22845,-152882522412.66,-124046065423.67911,22163843769.379078,2
3.0705268383026123,0.0102205204431961,0.051910018920898436,0.0011556358475191713,,5,"{'max_depth': None, 'min_samples_split': 5}",-113993421431.50417,-92250748498.83592,-67705406159.99775,-138018311433.11453,-139109359534.4665,-110215449411.58379,27393300303.165375,1
3.0458113670349123,0.018962477357686452,0.04860248565673828,0.0007990756599548014,,10,"{'max_depth': None, 'min_samples_split': 10}",-107656168392.0075,-137940838541.23987,-98971552458.6389,-170969589909.90176,-156439489049.483,-134395527670.25423,27589921513.388783,3
1.6815831661224365,0.017953506781162438,0.015502309799194336,0.0004460274879668362,10,2,"{'max_depth': 10, 'min_samples_split': 2}",-599406090998.9263,-591615632581.3711,-594570215426.4664,-643952655618.2241,-574268581385.6008,-600762635202.1178,23199856391.68146,9
1.6735512733459472,0.01101343560536795,0.015597105026245117,0.0005008391623733321,10,5,"{'max_depth': 10, 'min_samples_split': 5}",-599221552680.8972,-596727010929.9185,-558463017975.6876,-643161951786.1907,-576687725018.9116,-594852251678.3212,28321578332.57225,8
1.7383211612701417,0.05449106412938442,0.016714143753051757,0.0012212349005320544,10,10,"{'max_depth': 10, 'min_samples_split': 10}",-567910733333.2837,-597156182374.2675,-562881316408.6239,-641179813150.954,-575470038165.7848,-588919616686.5828,28632941072.57238,7
2.814666223526001,0.13561338411622126,0.033354568481445315,0.0007744003749766153,20,2,"{'max_depth': 20, 'min_samples_split': 2}",-152582465056.97614,-160369275329.97937,-170258424494.2416,-175782129269.63556,-189261573667.45782,-169650773563.6581,12649265653.775368,5
2.6070088863372805,0.022049325676834375,0.03241763114929199,0.0008604727491936928,20,5,"{'max_depth': 20, 'min_samples_split': 5}",-159183839686.19714,-145936762772.2592,-133928825509.72447,-181461382582.75385,-188781410597.4588,-161858444229.67865,20735661850.313095,4
2.5935975551605224,0.01835155753294401,0.03230371475219727,0.0014713034607252138,20,10,"{'max_depth': 20, 'min_samples_split': 10}",-155267668367.3451,-187798686124.327,-147992475830.11194,-214487541321.17224,-198037805310.32144,-180716835390.65555,25334454794.392174,6
