status,bed,bath,acre_lot,city,state,house_size,price
for_sale,3.0,2.0,2.4,Rutland Town,Vermont,1486.0,795000.0
for_sale,3.0,2.0,0.46,Meriden,Connecticut,1200.0,269000.0
for_sale,1.0,2.0,5.81,Jackson Heights,New York,1170.0,229000.0
for_sale,4.0,3.0,0.71,Brewster,New York,2900.0,849900.0
for_sale,2.0,2.0,0.57,Bellingham,Massachusetts,1069.0,349000.0
for_sale,4.0,1.0,0.15,Manchester,Connecticut,1080.0,109900.0
for_sale,3.0,3.0,0.92,Somers,Connecticut,2215.0,385000.0
for_sale,3.0,2.0,1.6,Poestenkill,New York,1728.0,393900.0
for_sale,4.0,2.0,1.25,Frederiksted,Virgin Islands,49658.0,499000.0
for_sale,2.0,2.0,1.16,Derry,New Hampshire,1448.0,220000.0
for_sale,4.0,3.0,3.26,Williamstown,New Jersey,2653.0,449900.0
for_sale,3.0,2.0,0.14,Utica,New York,1344.0,139900.0
for_sale,3.0,4.0,0.9,Woodstock,Connecticut,1722.0,575000.0
for_sale,4.0,1.0,1.45,Norwich,Connecticut,1382.0,229900.0
for_sale,9.0,3.0,0.07,New York City,New York,3926.0,899000.0
for_sale,4.0,2.0,0.06,Albany,New York,1672.0,79900.0
for_sale,6.0,3.0,0.07,Newark,New Jersey,2500.0,399999.0
for_sale,6.0,2.0,0.12,Everett,Massachusetts,2152.0,789888.0
for_sale,5.0,3.0,102.0,Bethel,Vermont,2648.0,850000.0
for_sale,4.0,3.0,4.68,Canastota,New York,3949.0,229000.0
for_sale,2.0,3.0,1.19,Walpole,Massachusetts,2350.0,699000.0
for_sale,3.0,2.0,0.24,Stuyvesant,New York,1600.0,865000.0
for_sale,4.0,3.0,0.64,Chatham,Massachusetts,1732.0,1400000.0
for_sale,4.0,2.0,0.03,Albany,New York,2622.0,279900.0
for_sale,4.0,3.0,0.4,Menands,New York,2290.0,309000.0
for_sale,1.0,1.0,0.1,Leicester,Massachusetts,630.0,295000.0
for_sale,3.0,2.0,10.76,Bayamon,Puerto Rico,1277.0,125000.0
for_sale,3.0,2.0,0.94,Windham,New Hampshire,1584.0,525000.0
for_sale,3.0,2.0,0.04,Newport,Rhode Island,1822.0,999000.0
for_sale,3.0,2.0,0.03,Upper Darby,Pennsylvania,1370.0,185000.0
for_sale,9.0,3.0,0.13,Providence,Rhode Island,6033.0,479900.0
for_sale,6.0,4.0,0.14,Merrick,New York,3178.0,875000.0
for_sale,4.0,2.0,0.11,Providence,Rhode Island,2990.0,359900.0
for_sale,4.0,4.0,0.16,Hamilton,New Jersey,2843.0,525000.0
for_sale,6.0,2.0,0.3,Windham,Connecticut,2500.0,132000.0
for_sale,4.0,3.0,0.59,Oxford,Massachusetts,1956.0,399900.0
for_sale,5.0,3.0,0.31,Colonie,New York,1971.0,345000.0
for_sale,6.0,4.0,0.08,City of Orange Township,New Jersey,2564.0,549000.0
for_sale,4.0,4.0,0.65,Catskill,New York,3404.0,829000.0
for_sale,4.0,2.0,1.02,Hartford,Vermont,1800.0,399000.0
for_sale,2.0,1.0,15.6,Middletown,New York,1416.0,425000.0
for_sale,4.0,3.0,0.21,Kingston,New York,2527.0,585000.0
for_sale,3.0,1.0,0.11,Pawtucket,Rhode Island,896.0,279900.0
for_sale,3.0,3.0,1.04,Bear,Delaware,6971.0,515000.0
for_sale,1.0,1.0,5.94,Davenport,New York,540.0,130000.0
for_sale,4.0,2.0,0.08,Norwalk,Connecticut,1553.0,799000.0
for_sale,3.0,1.0,127.0,Sullivan,New Hampshire,1560.0,650000.0
for_sale,2.0,1.0,0.1,Vincentown,New Jersey,1012.0,199900.0
for_sale,4.0,3.0,0.33,Halfmoon,New York,1968.0,372000.0
for_sale,3.0,1.0,0.08,Syracuse,New York,932.0,105000.0
for_sale,3.0,2.0,1.2,Mansfield,Connecticut,1600.0,294900.0
for_sale,2.0,2.0,0.17,Warwick,Rhode Island,1176.0,350000.0
for_sale,3.0,3.0,0.05,Bronx,New York,1995.0,735000.0
for_sale,4.0,4.0,0.16,Montclair,New Jersey,4200.0,999000.0
for_sale,3.0,2.0,0.11,Lynbrook,New York,1479.0,629000.0
for_sale,4.0,4.0,0.25,Great Neck,New York,2584.0,2380000.0
for_sale,4.0,3.0,0.21,Galloway Township,New Jersey,1860.0,349900.0
for_sale,4.0,3.0,1.02,New Fairfield,Connecticut,2620.0,659900.0
for_sale,5.0,3.0,0.18,Monroe,New Jersey,2216.0,449000.0
for_sale,2.0,1.0,0.01,Boston,Massachusetts,646.0,399000.0
for_sale,3.0,1.0,0.25,Methuen,Massachusetts,1199.0,445000.0
for_sale,3.0,3.0,0.93,Smithfield,Rhode Island,5378.0,325000.0
for_sale,4.0,2.0,1.7,New Hartford,Connecticut,1673.0,309900.0
for_sale,3.0,2.0,0.03,Rotterdam,New York,1499.0,389900.0
for_sale,3.0,2.0,0.14,Port Chester,New York,1806.0,599000.0
for_sale,15.0,7.0,0.12,Boston,Massachusetts,5265.0,2599999.0
for_sale,1.0,2.0,0.26,New York City,New York,842.0,1680000.0
for_sale,4.0,2.0,0.53,Ewing,New Jersey,1836.0,399900.0
for_sale,3.0,1.0,0.11,Rensselaer,New York,1648.0,26000.0
for_sale,5.0,6.0,1.01,North Andover,Massachusetts,5522.0,2395000.0
for_sale,3.0,2.0,0.86,Bristol,Connecticut,2088.0,298000.0
for_sale,6.0,3.0,0.23,Lawrence,Massachusetts,2700.0,750000.0
for_sale,5.0,4.0,0.79,Toms River,New Jersey,4035.0,894000.0
for_sale,3.0,2.0,0.61,Adams,Massachusetts,1288.0,269900.0
for_sale,5.0,4.0,0.44,Fitchburg,Massachusetts,4666.0,629900.0
for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,1368.0,215000.0
for_sale,7.0,8.0,0.5,Brookline,Massachusetts,7450.0,7590000.0
for_sale,38.0,10.0,0.28,Watervliet,New York,11296.0,985000.0
for_sale,2.0,1.0,0.44,Glen Spey,New York,720.0,86000.0
for_sale,3.0,1.0,0.87,New Scotland,New York,1760.0,239900.0
for_sale,6.0,3.0,3.0,Stone Ridge,New York,4202.0,474900.0
for_sale,5.0,4.0,3.41,Pound Ridge,New York,3392.0,970000.0
for_sale,4.0,2.0,0.32,East Syracuse,New York,1536.0,179900.0
for_sale,2.0,2.0,1.5,Boiceville,New York,2333.0,599000.0
for_sale,6.0,3.0,0.05,Boston,Massachusetts,2000.0,1035000.0
for_sale,4.0,3.0,0.06,Queens,New York,2722.0,1250000.0
for_sale,4.0,3.0,0.14,Albany,New York,2142.0,219000.0
for_sale,3.0,2.0,21.5,Pitcher,New York,2220.0,225000.0
for_sale,2.0,3.0,0.04,North Brunswick,New Jersey,1437.0,339900.0
for_sale,3.0,2.0,0.3,Melrose,Massachusetts,1561.0,725000.0
for_sale,4.0,3.0,0.47,Acton,Massachusetts,2665.0,929000.0
for_sale,3.0,3.0,0.79,East Windsor,Connecticut,1885.0,369900.0
for_sale,3.0,3.0,0.23,Edison,New Jersey,1742.0,574900.0
for_sale,4.0,2.0,0.18,New Britain,Connecticut,1200.0,190000.0
for_sale,8.0,2.0,2.9,Concord,New Hampshire,4103.0,399900.0
for_sale,2.0,2.0,0.26,Newfield,New Jersey,924.0,99900.0
for_sale,2.0,1.0,4.04,Newton,Massachusetts,959.0,595000.0
for_sale,3.0,2.0,2.45,Fairfax,Vermont,1566.0,339900.0
for_sale,2.0,2.0,0.13,Miller Place,New York,1227.0,469990.0
for_sale,6.0,2.0,0.25,Cayey,Puerto Rico,1053.0,59900.0
for_sale,4.0,4.0,1.83,Westport,Connecticut,3320.0,1448000.0
for_sale,3.0,3.0,0.6,Barre,Vermont,3062.0,489500.0
for_sale,5.0,4.0,1.04,Somers,New York,2896.0,759000.0
for_sale,3.0,3.0,5.88,Redding,Connecticut,1693.0,965000.0
for_sale,3.0,2.0,1.0,Nichols,New York,1064.0,69900.0
for_sale,3.0,1.0,1.2,Hopkinton,New Hampshire,2196.0,289900.0
