status,bed,bath,acre_lot,city,state,house_size,price
for_sale,4.0,1.0,0.22,Somerset,Massachusetts,1232.0,349900.0
for_sale,2.0,1.0,0.09,Deptford,New Jersey,1114.0,210000.0
for_sale,4.0,2.0,0.05,Brooklyn,New York,1536.0,725000.0
for_sale,2.0,2.0,0.19,Buchanan,New York,1197.0,429000.0
for_sale,11.0,13.0,5.18,Southampton,New York,3900.0,44950000.0
for_sale,4.0,2.0,1.06,Highgate,Vermont,2024.0,235174.0
for_sale,3.0,1.0,0.05,Glenolden,Pennsylvania,1152.0,200000.0
for_sale,3.0,2.0,0.3,Westford,Massachusetts,1346.0,629000.0
for_sale,2.0,1.0,2.73,Shady,New York,1006.0,549000.0
for_sale,4.0,3.0,0.93,Kingston,Massachusetts,3073.0,800000.0
for_sale,4.0,2.0,0.93,Hartford,Vermont,2722.0,379999.0
for_sale,5.0,6.0,1.3,Water Mill,New York,5000.0,7495000.0
for_sale,4.0,3.0,7.64,Callicoon,New York,2426.0,260000.0
for_sale,4.0,5.0,0.83,Great Neck,New York,3000.0,2995000.0
for_sale,3.0,1.0,0.06,Darby,Pennsylvania,1350.0,188888.0
for_sale,7.0,5.0,0.05,Bronx,New York,2892.0,988000.0
for_sale,3.0,1.0,0.11,Kingston,New York,1042.0,148000.0
for_sale,5.0,3.0,0.69,Suffern,New York,3200.0,879900.0
for_sale,3.0,2.0,0.13,Bristol,Connecticut,1502.0,239900.0
for_sale,4.0,3.0,0.11,Manasquan,New Jersey,2771.0,2249000.0
for_sale,3.0,2.0,0.23,Voorhees,New Jersey,1966.0,325000.0
for_sale,6.0,7.0,15.0,Searsport,Maine,8900.0,3350000.0
for_sale,3.0,1.0,0.06,Newburgh,New York,811.0,139000.0
for_sale,3.0,2.0,10.12,Maryland,New York,1488.0,234900.0
for_sale,4.0,3.0,1.39,Colchester,Connecticut,2224.0,438000.0
for_sale,4.0,3.0,2.9,Port Jervis,New York,2600.0,549900.0
for_sale,2.0,1.0,1.09,Munnsville,New York,918.0,119900.0
for_sale,3.0,2.0,0.05,Glendale,New York,1224.0,849000.0
for_sale,7.0,5.0,0.46,Lexington,Massachusetts,4275.0,3095000.0
for_sale,3.0,3.0,5.75,Caribou,Maine,3348.0,499000.0
for_sale,3.0,2.0,0.27,West Boylston,Massachusetts,1012.0,369000.0
for_sale,4.0,1.0,5.8,Cairo,New York,2625.0,259900.0
for_sale,4.0,3.0,1.2,Colton,New York,2188.0,312000.0
for_sale,3.0,3.0,1.13,Queensbury,New York,3128.0,629000.0
for_sale,8.0,4.0,0.23,Wappingers Falls,New York,3600.0,572000.0
for_sale,2.0,1.0,0.38,East Chatham,New York,1200.0,450000.0
for_sale,2.0,2.0,0.2,Lubec,Maine,1410.0,275000.0
for_sale,5.0,4.0,2.0,Copake,New York,1482.0,365000.0
for_sale,2.0,1.0,0.29,Agawam,Massachusetts,987.0,265900.0
for_sale,2.0,1.0,0.3,Keene,New Hampshire,1370.0,239900.0
for_sale,5.0,2.0,0.36,Brandon,Vermont,2003.0,198000.0
for_sale,3.0,1.0,0.29,Cohoes,New York,1092.0,225000.0
for_sale,4.0,4.0,2.0,Granby,Connecticut,2371.0,475000.0
for_sale,2.0,1.0,1.14,Windham,New Hampshire,1333.0,449000.0
for_sale,4.0,3.0,0.93,Southwick,Massachusetts,3100.0,600000.0
for_sale,6.0,4.0,2.0,Danville,New Hampshire,2756.0,550000.0
for_sale,3.0,2.0,0.15,Kingston,New York,1703.0,379000.0
for_sale,3.0,2.0,0.18,Bellmawr,New Jersey,1884.0,269000.0
for_sale,3.0,1.0,0.34,Belfast,Maine,1189.0,359900.0
for_sale,3.0,2.0,0.4,Upper Jay,New York,1875.0,450000.0
for_sale,3.0,3.0,8.5,Kingston,New York,2652.0,849000.0
for_sale,11.0,9.0,0.13,Woodside,New York,7966.0,3488000.0
for_sale,5.0,6.0,1.14,Thornwood,New York,8092.0,1900000.0
for_sale,3.0,3.0,0.11,Totowa,New Jersey,2190.0,630000.0
for_sale,1.0,1.0,0.37,Redwood,New York,412.0,49900.0
for_sale,4.0,2.0,0.31,Woodbury,New York,2618.0,979800.0
for_sale,7.0,2.0,0.22,Saugus,Massachusetts,3172.0,949900.0
for_sale,2.0,1.0,2.6,Hunter,New York,1164.0,369000.0
for_sale,3.0,3.0,0.45,Rocky Hill,Connecticut,2114.0,425000.0
for_sale,3.0,3.0,0.22,Tyngsborough,Massachusetts,2526.0,559000.0
for_sale,2.0,2.0,2.01,Poestenkill,New York,2308.0,285000.0
for_sale,4.0,2.0,0.29,Franklin,Massachusetts,1950.0,579000.0
for_sale,2.0,1.0,0.34,New Scotland,New York,840.0,199900.0
for_sale,3.0,2.0,0.33,Ledyard,Connecticut,1028.0,250000.0
for_sale,2.0,2.0,0.95,Wyckoff,New Jersey,41182.0,638500.0
for_sale,3.0,2.0,0.06,Dorado,Puerto Rico,1200.0,97000.0
for_sale,3.0,3.0,2.9,East Jewett,New York,1504.0,439000.0
for_sale,4.0,3.0,0.09,Auburn,New York,2157.0,96900.0
for_sale,6.0,2.0,0.26,Hunter,New York,1716.0,395000.0
for_sale,4.0,3.0,0.96,Wilton,New York,2870.0,454900.0
for_sale,8.0,4.0,0.04,Union City,New Jersey,2980.0,659000.0
for_sale,5.0,3.0,0.09,Richmond Hill South,New York,1936.0,1030000.0
for_sale,2.0,1.0,2.0,Brantingham,New York,1488.0,425000.0
for_sale,4.0,4.0,0.33,Albany,New York,3858.0,565000.0
for_sale,2.0,1.0,0.03,White Plains,New York,1150.0,289000.0
