status,bed,bath,acre_lot,city,state,house_size,price
for_sale,3.0,2.0,0.48,Bloomfield,Connecticut,1747.0,275000.0
for_sale,3.0,2.0,1.0,Newburgh,New York,1570.0,395000.0
for_sale,3.0,3.0,0.04,Boston,Massachusetts,1918.0,1975000.0
for_sale,3.0,2.0,2.0,Browns Mills,New Jersey,1848.0,325000.0
for_sale,3.0,1.0,0.38,Hyannis,Massachusetts,960.0,615000.0
for_sale,3.0,2.0,0.74,Moravia,New York,1584.0,220000.0
for_sale,5.0,3.0,0.1,Yonkers,New York,2142.0,529900.0
for_sale,3.0,3.0,5.38,Verona,New York,2237.0,115000.0
for_sale,4.0,3.0,0.3,Mays Landing,New Jersey,1906.0,366990.0
for_sale,4.0,3.0,0.47,Poughkeepsie,New York,2286.0,500000.0
for_sale,3.0,3.0,0.51,Newburgh,New York,2278.0,450000.0
for_sale,5.0,4.0,0.1,Rahway,New Jersey,3500.0,725000.0
for_sale,3.0,2.0,0.66,Kingston,New York,1512.0,329900.0
for_sale,4.0,1.0,0.3,Adams,Massachusetts,1360.0,395000.0
for_sale,2.0,4.0,0.28,Bloomfield,New Jersey,1400.0,370000.0
for_sale,3.0,2.0,1.0,Wappingers Falls,New York,1800.0,475000.0
for_sale,3.0,1.0,0.14,New Brunswick,New Jersey,1253.0,349000.0
for_sale,5.0,4.0,0.05,Somerville,Massachusetts,2200.0,1550000.0
for_sale,4.0,4.0,2.02,Weston,Connecticut,4760.0,1168900.0
for_sale,4.0,3.0,1.06,Skillman,New Jersey,3171.0,899900.0
for_sale,3.0,3.0,2.8,Hudson,New York,1690.0,392900.0
for_sale,2.0,1.0,0.41,Union Springs,New York,1897.0,189900.0
for_sale,3.0,3.0,1.1,Red Hook,New York,1926.0,495000.0
for_sale,4.0,1.0,0.14,Kingston,New York,1344.0,279000.0
for_sale,6.0,8.0,2.6,Villanova,Pennsylvania,11033.0,5950000.0
for_sale,6.0,5.0,0.38,Newton,Massachusetts,4416.0,2750000.0
for_sale,4.0,3.0,6.1,Stephentown,New York,2350.0,450000.0
for_sale,3.0,2.0,0.48,Mashpee,Massachusetts,1428.0,525000.0
for_sale,5.0,5.0,0.3,Lexington,Massachusetts,4642.0,2395000.0
for_sale,4.0,3.0,0.34,North Brunswick,New Jersey,2396.0,519900.0
for_sale,3.0,3.0,0.17,East Brunswick,New Jersey,1792.0,450000.0
for_sale,6.0,6.0,12.73,Wappingers Falls,New York,6620.0,935000.0
for_sale,9.0,3.0,0.08,Bridgeport,Connecticut,3281.0,359900.0
for_sale,4.0,4.0,0.51,Hopewell Junction,New York,4606.0,799000.0
for_sale,3.0,2.0,0.06,Stewart Manor,New York,1636.0,749000.0
for_sale,3.0,1.0,0.11,Manchester,New Hampshire,1142.0,289900.0
for_sale,8.0,3.0,0.15,Hartford,Connecticut,3090.0,289900.0
for_sale,5.0,6.0,9.12,North Salem,New York,10187.0,5950000.0
for_sale,4.0,5.0,0.04,New York City,New York,3496.0,5825000.0
for_sale,4.0,2.0,0.09,Ossining,New York,1578.0,550000.0
for_sale,3.0,2.0,0.06,Staten Island,New York,1920.0,699000.0
for_sale,5.0,4.0,2.93,Torrington,Connecticut,3320.0,500000.0
for_sale,3.0,3.0,1.11,Southwick,Massachusetts,2463.0,629000.0
for_sale,4.0,2.0,0.07,New York City,New York,1648.0,1188000.0
for_sale,4.0,3.0,3.52,Guilford,Connecticut,2818.0,625000.0
for_sale,5.0,5.0,2.09,Greenwich,Connecticut,4706.0,4595000.0
for_sale,2.0,1.0,0.04,Bayamon,Puerto Rico,730.0,50000.0
for_sale,33.0,15.0,89.0,Lenox,Massachusetts,20821.0,12500000.0
for_sale,4.0,2.0,0.09,Philadelphia,Pennsylvania,1800.0,300000.0
for_sale,3.0,2.0,0.29,Bridgeton,New Jersey,1176.0,180000.0
for_sale,3.0,2.0,0.17,Syracuse,New York,1280.0,62000.0
for_sale,2.0,2.0,0.26,Millville,New Jersey,1520.0,225000.0
for_sale,2.0,3.0,16.0,Concord,Vermont,1980.0,249000.0
for_sale,4.0,3.0,4.5,Warner,New Hampshire,3000.0,365000.0
for_sale,4.0,2.0,0.09,Swampscott,Massachusetts,1673.0,649000.0
for_sale,5.0,3.0,0.18,Boston,Massachusetts,4274.0,4500000.0
for_sale,3.0,2.0,0.19,Troy,New York,2445.0,238000.0
for_sale,2.0,2.0,7.79,Lake George,New York,1008.0,55000.0
for_sale,3.0,1.0,2.6,Ravena,New York,1336.0,180000.0
for_sale,4.0,3.0,0.05,Brooklyn,New York,1520.0,579000.0
for_sale,2.0,1.0,2.6,Glastonbury,Connecticut,1514.0,275000.0
for_sale,5.0,4.0,29.7,Cincinnatus,New York,2235.0,312000.0
for_sale,7.0,5.0,2.61,Avon,Connecticut,4920.0,1750000.0
for_sale,3.0,3.0,0.23,North Stonington,Connecticut,1786.0,357900.0
for_sale,3.0,2.0,0.86,Johnston,Rhode Island,1750.0,429900.0
for_sale,3.0,3.0,0.39,Milltown,New Jersey,1731.0,520000.0
for_sale,5.0,6.0,0.7,Windham,New York,3643.0,1599000.0
for_sale,5.0,2.0,0.06,Bronx,New York,1600.0,799000.0
for_sale,2.0,2.0,0.1,Hoosick Falls,New York,1120.0,129900.0
for_sale,16.0,15.0,10.3,Purling,New York,16547.0,1200000.0
for_sale,4.0,3.0,2.02,Katonah,New York,2795.0,725000.0
for_sale,4.0,3.0,0.13,Baldwin,New York,2372.0,949000.0
for_sale,8.0,6.0,0.13,Brooklyn,New York,3814.0,1488888.0
for_sale,7.0,5.0,0.12,Bronx,New York,3232.0,1088000.0
for_sale,5.0,2.0,0.05,Bronx,New York,2398.0,775000.0
for_sale,3.0,3.0,0.14,Naugatuck,Connecticut,1539.0,239900.0
for_sale,3.0,2.0,8.5,Deering,New Hampshire,1542.0,420000.0
for_sale,4.0,3.0,0.26,Halfmoon,New York,2786.0,514900.0
for_sale,2.0,1.0,0.12,Bennington,Vermont,784.0,89000.0
for_sale,4.0,4.0,0.48,Rensselaer,New York,2900.0,190000.0
for_sale,3.0,2.0,1.3,New Paltz,New York,1456.0,269900.0
for_sale,2.0,3.0,0.1,Troy,New York,1560.0,184900.0
for_sale,4.0,3.0,5.24,Barrington,New Hampshire,3307.0,299000.0
for_sale,3.0,4.0,0.78,Grantham,New Hampshire,3411.0,899017.0
for_sale,4.0,3.0,0.5,Clifton Park,New York,2557.0,446900.0
for_sale,2.0,2.0,0.03,Staten Island,New York,1804.0,579000.0
for_sale,3.0,3.0,0.22,Sand Lake,New York,1965.0,429900.0
for_sale,3.0,2.0,11.85,Croydon,New Hampshire,1920.0,350000.0
for_sale,4.0,4.0,0.24,New Rochelle,New York,3147.0,930000.0
for_sale,5.0,5.0,6.4,Peapack Gladstone Boro,New Jersey,5516.0,1575000.0
for_sale,3.0,1.0,0.03,Burlington,New Jersey,1269.0,107000.0
for_sale,6.0,3.0,0.16,East Hartford,Connecticut,3332.0,299000.0
for_sale,9.0,8.0,0.14,Boston,Massachusetts,5592.0,2400000.0
for_sale,4.0,3.0,0.49,Medford,New Jersey,2055.0,384900.0
for_sale,4.0,2.0,0.16,Drexel Hill,Pennsylvania,1971.0,329900.0
for_sale,3.0,2.0,0.79,Sutton,Massachusetts,2228.0,527000.0
for_sale,3.0,2.0,0.18,Wethersfield,Connecticut,1012.0,264265.0
for_sale,4.0,2.0,0.5,Boothbay Harbor,Maine,1750.0,449000.0
for_sale,3.0,1.0,0.88,South Kingstown,Rhode Island,1144.0,398800.0
for_sale,4.0,4.0,0.46,Cherry Hill,New Jersey,2892.0,550000.0
for_sale,4.0,3.0,0.35,Wethersfield,Connecticut,1507.0,399900.0
for_sale,2.0,4.0,4.31,Remsen,New York,1470.0,249000.0
for_sale,2.0,1.0,0.12,Totowa,New Jersey,1400.0,339900.0
for_sale,8.0,4.0,0.12,Belmont,Massachusetts,4632.0,1999000.0
for_sale,11.0,5.0,0.16,Bronx,New York,4091.0,1799999.0
for_sale,1.0,1.0,7.58,Saint George,Maine,528.0,325000.0
