status,bed,bath,acre_lot,city,state,house_size,price
for_sale,4.0,3.0,6.03,Canaan,Connecticut,2800.0,640000.0
for_sale,4.0,7.0,0.92,Walpole,Massachusetts,4522.0,1650000.0
for_sale,3.0,1.0,0.16,Trujillo Alto,Puerto Rico,567.0,125000.0
for_sale,3.0,2.0,0.35,Warwick,Rhode Island,1512.0,329900.0
for_sale,4.0,3.0,1.29,Hunter,New York,2400.0,759000.0
for_sale,10.0,1.0,7.5,Highland,New York,1316.0,199000.0
for_sale,3.0,2.0,0.51,Manchester,Connecticut,1828.0,349900.0
for_sale,3.0,3.0,0.09,Caguas,Puerto Rico,1453.0,146000.0
for_sale,4.0,2.0,0.46,Farmington,Connecticut,1516.0,359000.0
for_sale,3.0,3.0,0.51,Hyde Park,New York,2091.0,359900.0
for_sale,4.0,4.0,0.23,Cambridge,Massachusetts,2172.0,1875000.0
for_sale,3.0,3.0,0.29,Norwalk,Connecticut,2192.0,675000.0
for_sale,3.0,1.0,0.03,Revere,Massachusetts,1140.0,585000.0
for_sale,3.0,2.0,0.53,Pearl River,New York,2274.0,539000.0
for_sale,4.0,6.0,3.26,Greenwich,Connecticut,7397.0,2895000.0
for_sale,3.0,2.0,0.01,Revere,Massachusetts,1710.0,649900.0
for_sale,4.0,3.0,0.36,North Andover,Massachusetts,1272.0,498000.0
for_sale,2.0,3.0,4.07,Grahamsville,New York,1394.0,560000.0
for_sale,3.0,3.0,5.2,Old Orchard Beach,Maine,1482.0,389900.0
for_sale,3.0,3.0,0.04,Bronx,New York,1632.0,669999.0
for_sale,3.0,3.0,0.05,Brooklyn,New York,1696.0,799000.0
for_sale,1.0,1.0,0.02,Staten Island,New York,658.0,275000.0
for_sale,3.0,1.0,0.27,Bordentown,New Jersey,1084.0,234900.0
for_sale,4.0,4.0,5.28,Lincoln,Rhode Island,3921.0,875000.0
for_sale,4.0,2.0,0.11,Dedham,Massachusetts,1488.0,514900.0
for_sale,4.0,3.0,0.75,Middlebury,Connecticut,2372.0,499900.0
for_sale,3.0,3.0,1.13,Stamford,Connecticut,2478.0,769000.0
for_sale,3.0,1.0,0.22,Bridgeport,Connecticut,1096.0,250000.0
for_sale,3.0,1.0,0.14,Coventry,Rhode Island,1170.0,299900.0
for_sale,3.0,3.0,0.05,Staten Island,New York,1000.0,590000.0
for_sale,3.0,2.0,0.15,Mashpee,Massachusetts,812.0,839500.0
for_sale,5.0,4.0,0.89,Cayey,Puerto Rico,6000.0,1500000.0
for_sale,2.0,1.0,17.0,Vinalhaven,Maine,800.0,1100000.0
for_sale,3.0,1.0,4.1,Catskill,New York,2288.0,554000.0
for_sale,2.0,3.0,0.14,Howell,New Jersey,1893.0,425000.0
for_sale,3.0,2.0,0.15,Lynn,Massachusetts,1368.0,500000.0
for_sale,3.0,3.0,0.04,Brooklyn,New York,1958.0,885000.0
for_sale,2.0,1.0,0.11,Smallwood,New York,472.0,79000.0
for_sale,3.0,2.0,1.6,Alexandria Bay,New York,1807.0,384000.0
for_sale,4.0,4.0,0.04,Atlantic City,New Jersey,1260.0,239000.0
for_sale,3.0,1.0,0.38,Camuy,Puerto Rico,900.0,74000.0
for_sale,3.0,3.0,0.19,Great Barrington,Massachusetts,1876.0,649000.0
for_sale,3.0,2.0,0.45,Colonie,New York,1644.0,426900.0
for_sale,4.0,1.0,0.47,Foxboro,Massachusetts,1422.0,489900.0
for_sale,4.0,2.0,0.1,Rye,New York,1526.0,995000.0
for_sale,4.0,2.0,4.8,Hudson,New York,1810.0,529900.0
for_sale,3.0,2.0,2.36,Shandaken,New York,1416.0,339000.0
for_sale,3.0,2.0,0.46,Red Hook,New York,1923.0,435000.0
for_sale,3.0,3.0,0.14,Staten Island,New York,2238.0,929999.0
for_sale,4.0,2.0,0.25,Lancaster,Massachusetts,1295.0,420000.0
