status,bed,bath,acre_lot,city,state,house_size,price
for_sale,8.0,4.0,0.06,Brooklyn,New York,3198.0,1799000.0
for_sale,3.0,2.0,0.09,Campbell Hall,New York,1482.0,284900.0
for_sale,3.0,3.0,0.11,Hopkinton,Massachusetts,2556.0,815000.0
for_sale,6.0,8.0,4.0,New Canaan,Connecticut,9385.0,5985000.0
for_sale,8.0,3.0,0.02,Bronx,New York,2565.0,975000.0
for_sale,3.0,2.0,1.08,Granby,Massachusetts,1463.0,346000.0
for_sale,4.0,2.0,1.3,Deerfield,Massachusetts,2032.0,386000.0
for_sale,4.0,1.0,0.11,Herkimer,New York,1404.0,135000.0
for_sale,4.0,4.0,11.0,Campton,New Hampshire,3051.0,946500.0
for_sale,3.0,1.0,4.6,Griswold,Connecticut,1422.0,239900.0
for_sale,3.0,2.0,0.23,Elkins Park,Pennsylvania,1552.0,395000.0
for_sale,3.0,2.0,0.45,Wilton,New York,1905.0,574465.0
for_sale,3.0,3.0,3.57,Sutton,Massachusetts,2700.0,739000.0
for_sale,4.0,2.0,0.89,Putnam,Connecticut,1828.0,229000.0
for_sale,1.0,2.0,0.33,New York City,New York,988.0,1750000.0
for_sale,4.0,5.0,0.32,Woburn,Massachusetts,4323.0,1299000.0
for_sale,2.0,2.0,0.16,Ballston Spa,New York,912.0,219900.0
for_sale,3.0,2.0,0.07,Bayside,New York,1750.0,968000.0
for_sale,5.0,2.0,0.05,Jersey City,New Jersey,1643.0,491000.0
for_sale,1.0,1.0,0.31,Ledyard,Connecticut,639.0,115000.0
for_sale,6.0,2.0,0.13,Chicopee,Massachusetts,2640.0,250000.0
for_sale,4.0,1.0,0.13,Brockton,Massachusetts,1814.0,349000.0
for_sale,3.0,2.0,0.2,Pennsauken,New Jersey,1792.0,230000.0
for_sale,3.0,3.0,4.9,Chenango Forks,New York,1976.0,217000.0
for_sale,3.0,2.0,0.17,Malta,New York,1900.0,473900.0
for_sale,3.0,4.0,0.05,Highland Mills,New York,2889.0,290000.0
for_sale,2.0,2.0,0.04,Bronx,New York,672.0,525000.0
for_sale,4.0,2.0,0.17,Monroe,New Jersey,1908.0,480000.0
for_sale,4.0,3.0,0.22,Baldwinsville,New York,2636.0,229900.0
for_sale,6.0,3.0,0.08,Poughkeepsie,New York,3768.0,499000.0
for_sale,3.0,2.0,0.63,Lisbon,Maine,4026.0,299000.0
for_sale,4.0,1.0,0.75,Glenville,New York,1540.0,249900.0
for_sale,6.0,4.0,2.68,New Canaan,Connecticut,3496.0,1899000.0
for_sale,3.0,2.0,8171.5,Bordentown,New Jersey,1685.0,349900.0
for_sale,3.0,2.0,0.14,Winthrop,Massachusetts,1630.0,699900.0
for_sale,3.0,1.0,0.08,Toa Baja,Puerto Rico,950.0,73400.0
for_sale,4.0,2.0,0.2,New Britain,Connecticut,1229.0,219900.0
for_sale,4.0,4.0,0.16,Montclair,New Jersey,4200.0,999000.0
for_sale,4.0,2.0,0.14,Springfield,Massachusetts,2459.0,299900.0
for_sale,2.0,2.0,1.33,Essex,Vermont,2184.0,385000.0
for_sale,4.0,3.0,0.51,Fairfield,New Jersey,2006.0,464900.0
for_sale,3.0,1.0,0.82,Ashburnham,Massachusetts,1333.0,239900.0
for_sale,3.0,1.0,0.09,Ilion,New York,1170.0,129900.0
for_sale,3.0,4.0,0.05,Kennett Square,Pennsylvania,1967.0,442500.0
for_sale,6.0,3.0,0.11,Stamford,Connecticut,2292.0,599999.0
for_sale,7.0,3.0,0.13,Burlington,Vermont,4612.0,715000.0
for_sale,6.0,5.0,0.02,Briarwood,New York,2849.0,1498000.0
for_sale,6.0,3.0,0.06,Yonkers,New York,2088.0,599000.0
for_sale,2.0,2.0,0.03,Boston,Massachusetts,1173.0,1100000.0
for_sale,5.0,3.0,0.52,Stafford,Connecticut,2632.0,265000.0
for_sale,7.0,5.0,10.7,Pleasant Valley,New York,4600.0,600000.0
for_sale,5.0,3.0,0.29,Marlborough,Massachusetts,2429.0,585000.0
for_sale,3.0,1.0,0.33,East Greenbush,New York,1268.0,114000.0
for_sale,2.0,1.0,0.34,Coventry,Connecticut,1056.0,199900.0
for_sale,4.0,2.0,0.4,Hunter,New York,2122.0,325000.0
for_sale,3.0,1.0,0.9,East Jewett,New York,900.0,289000.0
for_sale,3.0,2.0,0.11,Ewing,New Jersey,1154.0,290000.0
for_sale,5.0,5.0,4.1,Montpelier,Vermont,3924.0,799000.0
for_sale,3.0,2.0,0.22,West Seneca,New York,1339.0,229900.0
for_sale,3.0,2.0,0.23,Skowhegan,Maine,1440.0,145000.0
for_sale,3.0,2.0,0.27,Groton,Connecticut,1766.0,289000.0
for_sale,4.0,3.0,0.12,Springfield,Massachusetts,1360.0,284999.0
for_sale,6.0,3.0,0.06,Coeymans,New York,2100.0,249900.0
for_sale,3.0,3.0,0.08,Newport,Rhode Island,1698.0,749000.0
for_sale,3.0,2.0,0.45,Athens,New York,1352.0,499000.0
for_sale,9.0,4.0,0.09,Pawtucket,Rhode Island,3796.0,333000.0
for_sale,2.0,3.0,0.08,Wayne,New Jersey,1742.0,447900.0
for_sale,2.0,1.0,0.88,Westborough,Massachusetts,996.0,350000.0
for_sale,4.0,4.0,1.59,Cortlandt Manor,New York,3308.0,759000.0
for_sale,5.0,6.0,0.74,Newton,Massachusetts,6119.0,4499000.0
for_sale,8.0,9.0,0.69,Scarsdale,New York,9560.0,4900000.0
for_sale,3.0,2.0,0.17,Thornwood,New York,2005.0,790000.0
for_sale,3.0,2.0,0.04,New York City,New York,1620.0,1225000.0
for_sale,3.0,2.0,0.16,Hardwick,Vermont,1495.0,180000.0
