status,bed,bath,acre_lot,city,state,house_size,price
for_sale,3.0,2.0,0.67,Putnam Valley,New York,2055.0,875000.0
for_sale,3.0,2.0,1.02,Garrison,New York,1446.0,750000.0
for_sale,4.0,3.0,3.03,Fishkill,New York,2434.0,589000.0
for_sale,3.0,2.0,0.6,Stamford,Connecticut,1943.0,599000.0
for_sale,3.0,3.0,0.05,Highland Mills,New York,1363.0,299900.0
for_sale,3.0,2.0,0.6,Carthage,New York,1540.0,184600.0
for_sale,3.0,1.0,0.07,West Warwick,Rhode Island,752.0,199000.0
for_sale,6.0,2.0,4.0,Cochecton,New York,2456.0,435000.0
for_sale,2.0,2.0,0.15,Dalton,Massachusetts,1364.0,209900.0
for_sale,3.0,2.0,0.12,Yonkers,New York,1350.0,575000.0
for_sale,2.0,1.0,23.0,Cutler,Maine,1884.0,300000.0
for_sale,3.0,2.0,0.11,Larchmont,New York,2473.0,879000.0
for_sale,3.0,1.0,0.34,Norwich,Connecticut,1092.0,200000.0
for_sale,3.0,2.0,0.18,Santa Isabel,Puerto Rico,1166.0,59000.0
for_sale,3.0,2.0,0.05,Ozone Park,New York,1024.0,649000.0
for_sale,4.0,4.0,1.56,Copake,New York,3100.0,2100000.0
for_sale,2.0,1.0,0.33,Pequannock Township,New Jersey,725.0,181417.0
for_sale,2.0,1.0,0.11,Poughkeepsie,New York,1280.0,175000.0
for_sale,4.0,4.0,0.06,Brooklyn,New York,2800.0,1800000.0
for_sale,3.0,3.0,2.04,Monson,Massachusetts,2775.0,465000.0
for_sale,3.0,2.0,0.1,Hyde Park,Massachusetts,1104.0,523900.0
for_sale,4.0,2.0,0.29,Brooklyn,New York,1440.0,1450000.0
for_sale,6.0,3.0,7.5,Newfane,Vermont,3238.0,749000.0
for_sale,4.0,2.0,0.25,Glassboro,New Jersey,1857.0,314900.0
for_sale,4.0,3.0,21.6,New Paltz,New York,2638.0,719000.0
for_sale,3.0,3.0,0.03,Albany,New York,2784.0,295000.0
for_sale,6.0,5.0,0.04,New York City,New York,4500.0,4950000.0
for_sale,4.0,3.0,0.31,Mountain Lakes,New Jersey,2428.0,849900.0
for_sale,6.0,2.0,0.07,Albany,New York,2304.0,225000.0
for_sale,4.0,2.0,0.03,Philadelphia,Pennsylvania,1780.0,269000.0
for_sale,4.0,4.0,0.73,Lincroft,New Jersey,3281.0,950000.0
for_sale,3.0,1.0,0.17,Waterbury,Connecticut,792.0,145000.0
for_sale,2.0,1.0,0.29,Berlin,New York,1163.0,254900.0
for_sale,4.0,3.0,0.25,Brigantine,New Jersey,3220.0,569900.0
for_sale,2.0,2.0,13.04,Ossining,New York,1580.0,365000.0
for_sale,42.0,42.0,0.23,Somerville,Massachusetts,26942.0,4999000.0
for_sale,4.0,3.0,3.3,Saugerties,New York,4437.0,1199000.0
for_sale,4.0,4.0,0.47,Cumberland,Rhode Island,2392.0,639900.0
for_sale,3.0,1.0,0.23,Manchester,New Hampshire,1306.0,359500.0
for_sale,6.0,7.0,0.25,Dorado,Puerto Rico,5500.0,9995000.0
for_sale,5.0,6.0,0.05,Brooklyn,New York,3166.0,1098000.0
for_sale,1.0,1.0,0.04,Albany,New York,1758.0,240000.0
for_sale,3.0,2.0,0.08,Woodmere,New York,1752.0,729000.0
for_sale,6.0,3.0,0.04,Jackson Heights,New York,2650.0,1099000.0
for_sale,3.0,2.0,0.92,Barre,Vermont,2059.0,180000.0
for_sale,2.0,2.0,0.08,East Rockaway,New York,956.0,410000.0
for_sale,4.0,4.0,0.35,Vineland,New Jersey,2334.0,429899.0
for_sale,3.0,3.0,3.8,Deerfield,New Hampshire,2212.0,469900.0
for_sale,2.0,2.0,0.17,Manchester,New Hampshire,1394.0,329900.0
for_sale,4.0,3.0,1.89,Fitchburg,Massachusetts,2975.0,689900.0
for_sale,2.0,3.0,0.05,Santurce,Puerto Rico,1924.0,1685000.0
for_sale,6.0,6.0,3.1,Windham,New Hampshire,9528.0,3445000.0
for_sale,9.0,2.0,1.1,Hunter,New York,2496.0,119000.0
for_sale,6.0,3.0,0.04,Glendale,New York,2400.0,948000.0
for_sale,8.0,3.0,0.06,Bronx,New York,3304.0,729000.0
for_sale,2.0,1.0,0.2,Middletown,Connecticut,1050.0,207500.0
for_sale,4.0,1.0,2.4,Preston,Connecticut,1382.0,174900.0
for_sale,6.0,6.0,0.18,West Haven,Connecticut,5734.0,850000.0
for_sale,5.0,3.0,0.06,New York City,New York,3300.0,1800000.0
for_sale,5.0,3.0,0.35,Suffern,New York,3004.0,789000.0
for_sale,3.0,2.0,0.02,Monroe,New Jersey,1448.0,460000.0
for_sale,3.0,2.0,98.65,Preston,New York,1456.0,275000.0
for_sale,2.0,1.0,0.17,Smallwood,New York,1133.0,165000.0
for_sale,6.0,3.0,0.09,Somerville,Massachusetts,3046.0,1332933.0
for_sale,4.0,2.0,0.06,Bronx,New York,1880.0,629000.0
for_sale,4.0,2.0,0.21,Marcy,New York,1600.0,135000.0
for_sale,3.0,2.0,0.21,Hopatcong,New Jersey,1310.0,350000.0
for_sale,2.0,2.0,0.95,Chester,Connecticut,1456.0,399999.0
for_sale,4.0,3.0,0.17,Massapequa,New York,2109.0,749000.0
for_sale,1.0,1.0,0.05,New York City,New York,579.0,620000.0
for_sale,3.0,4.0,7.08,Cold Spring,New York,2918.0,1599000.0
for_sale,4.0,3.0,0.06,Albany,New York,1998.0,185000.0
for_sale,4.0,2.0,0.35,Keene,New Hampshire,1854.0,297000.0
for_sale,3.0,3.0,5.53,Gilsum,New Hampshire,1920.0,395000.0
for_sale,3.0,2.0,0.27,Lake Placid,New York,1002.0,249000.0
for_sale,4.0,3.0,1.28,Weare,New Hampshire,2800.0,624900.0
for_sale,3.0,2.0,0.06,Staten Island,New York,1216.0,649000.0
for_sale,3.0,2.0,1.07,Greenfield,Massachusetts,1100.0,340000.0
for_sale,5.0,4.0,0.25,Mahopac,New York,3368.0,1500000.0
for_sale,12.0,4.0,0.1,Biddeford,Maine,3964.0,799999.0
for_sale,4.0,2.0,0.29,Bristol,Connecticut,1408.0,249900.0
for_sale,5.0,1.0,256.0,Jefferson,New York,1800.0,574900.0
for_sale,4.0,3.0,0.52,Manchester,Connecticut,3263.0,369000.0
for_sale,4.0,4.0,0.44,Montgomery Twp,New Jersey,2606.0,789000.0
for_sale,8.0,5.0,0.08,Bronx,New York,3744.0,1099000.0
for_sale,3.0,2.0,0.92,Mendon,Massachusetts,1612.0,439900.0
for_sale,5.0,5.0,1.21,New Fairfield,Connecticut,3785.0,1195000.0
for_sale,3.0,2.0,0.2,Manchester,Connecticut,1144.0,278000.0
for_sale,3.0,3.0,0.06,Westampton,New Jersey,2185.0,415000.0
for_sale,3.0,3.0,0.15,North Greenbush,New York,1945.0,414500.0
for_sale,3.0,2.0,0.37,Mechanicville,New York,1462.0,210000.0
for_sale,5.0,4.0,0.25,San Juan,Puerto Rico,3123.0,2000000.0
for_sale,3.0,2.0,0.18,Cumberland,Rhode Island,840.0,299900.0
for_sale,4.0,3.0,0.11,Jamaica,New York,1063.0,849999.0
for_sale,3.0,2.0,0.46,Wilmington,Massachusetts,1751.0,569900.0
for_sale,6.0,4.0,0.14,Glens Falls,New York,1940.0,275000.0
for_sale,2.0,3.0,0.05,Astoria,New York,1320.0,999999.0
for_sale,3.0,1.0,1.45,Stephentown,New York,1386.0,123000.0
for_sale,3.0,2.0,0.06,Watertown,Connecticut,1446.0,304900.0
for_sale,2.0,1.0,0.06,Otis,Massachusetts,800.0,159900.0
for_sale,3.0,2.0,0.87,Lake Luzerne,New York,1232.0,285000.0
for_sale,3.0,1.0,0.07,Elmont,New York,836.0,519999.0
for_sale,3.0,1.0,0.22,Mayaguez,Puerto Rico,746.0,35000.0
for_sale,3.0,2.0,0.51,Brattleboro,Vermont,1700.0,269900.0
for_sale,2.0,1.0,2.55,Putnam Valley,New York,2911.0,399000.0
for_sale,3.0,2.0,0.16,Ashland,Massachusetts,1451.0,475000.0
for_sale,4.0,3.0,0.38,Plattsburgh,New York,2571.0,665000.0
for_sale,3.0,1.0,0.15,Albany,New York,976.0,217000.0
for_sale,2.0,1.0,1.5,Montgomery,New York,1168.0,229900.0
for_sale,2.0,1.0,1.58,Scituate,Rhode Island,928.0,349900.0
for_sale,3.0,3.0,2.01,Ballston Lake,New York,2017.0,458900.0
for_sale,4.0,3.0,0.41,Plattsburgh,New York,2080.0,168000.0
for_sale,3.0,3.0,0.61,Stamford,Connecticut,2028.0,649000.0
for_sale,4.0,3.0,0.92,Center Moriches,New York,2850.0,795000.0
for_sale,3.0,2.0,0.19,Manchester,Connecticut,1197.0,229900.0
for_sale,3.0,2.0,1.06,Chesterfield,New Hampshire,1268.0,295000.0
for_sale,3.0,3.0,0.21,Plymouth,Massachusetts,2398.0,799999.0
for_sale,6.0,3.0,0.14,Troy,New York,2324.0,115000.0
for_sale,3.0,2.0,0.17,Norwich,Connecticut,1229.0,265000.0
for_sale,3.0,1.0,6.9,Skowhegan,Maine,1356.0,275000.0
for_sale,3.0,2.0,5.26,Delanson,New York,2348.0,417400.0
for_sale,2.0,2.0,0.07,Salem,New Hampshire,1472.0,335000.0
for_sale,4.0,3.0,4.95,Bedford Corners,New York,2560.0,1175000.0
for_sale,7.0,4.0,0.34,Boonville,New York,2882.0,155000.0
for_sale,3.0,1.0,5.16,Hinsdale,New Hampshire,924.0,189000.0
for_sale,5.0,5.0,1.46,Cream Ridge,New Jersey,6062.0,1695000.0
for_sale,3.0,2.0,0.13,Kingston,New York,1848.0,449000.0
for_sale,3.0,5.0,0.07,Manhasset,New York,3544.0,1848000.0
for_sale,4.0,3.0,0.39,Three Mile Bay,New York,2951.0,284900.0
for_sale,3.0,3.0,3.0,Honesdale,Pennsylvania,3615.0,499000.0
for_sale,7.0,4.0,0.04,Boston,Massachusetts,2870.0,1399000.0
for_sale,4.0,4.0,2.36,Bedford,New Hampshire,6297.0,1995000.0
for_sale,3.0,1.0,60.0,Berlin,New York,1176.0,175000.0
for_sale,4.0,3.0,2.75,Watertown,New York,4000.0,599900.0
for_sale,3.0,4.0,0.1,Montville Township,New Jersey,2608.0,694800.0
for_sale,4.0,3.0,3.98,Coventry,Connecticut,2400.0,524900.0
for_sale,7.0,6.0,0.45,Chelmsford,Massachusetts,3936.0,1496280.0
for_sale,4.0,3.0,0.39,Mount Desert,Maine,2352.0,1900000.0
for_sale,3.0,2.0,0.83,Warren Center,Pennsylvania,1278.0,125000.0
