status,bed,bath,acre_lot,city,state,house_size,price
for_sale,3.0,2.0,0.08,Endicott,New York,1304.0,84900.0
for_sale,4.0,2.0,0.08,Ware,Massachusetts,1884.0,169900.0
for_sale,5.0,6.0,1.04,Columbus,New Jersey,4866.0,1000000.0
for_sale,1.0,1.0,0.04,Baiting Hollow,New York,500.0,135000.0
for_sale,4.0,2.0,3.01,Carthage,New York,1740.0,139900.0
for_sale,9.0,6.0,1.2,Monmouth,Maine,3188.0,349900.0
for_sale,3.0,2.0,22.0,Hope,Maine,1595.0,649000.0
for_sale,3.0,2.0,0.12,Milton,Massachusetts,1536.0,799900.0
for_sale,4.0,3.0,0.93,Duxbury,Massachusetts,2709.0,850000.0
for_sale,3.0,2.0,1.46,Chittenango,New York,1530.0,219000.0
for_sale,3.0,2.0,18.89,Ancram,New York,1965.0,570000.0
for_sale,3.0,2.0,0.39,Rocky Hill,Connecticut,1834.0,344900.0
for_sale,2.0,2.0,0.22,Catskill,New York,1478.0,170000.0
for_sale,2.0,1.0,0.14,Westville,New Jersey,692.0,160000.0
for_sale,3.0,2.0,1.45,Coventry,Connecticut,1414.0,294900.0
for_sale,5.0,3.0,0.99,Long Hill Township,New Jersey,2196.0,680000.0
for_sale,5.0,4.0,0.04,New York City,New York,3360.0,3250000.0
for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,1222.0,122900.0
for_sale,2.0,1.0,2.68,Sutton,Vermont,908.0,160000.0
for_sale,3.0,3.0,0.03,Philadelphia,Pennsylvania,1350.0,279900.0
for_sale,2.0,2.0,0.39,Holmes,New York,1232.0,300000.0
for_sale,4.0,3.0,0.21,Ilion,New York,2128.0,249000.0
for_sale,3.0,2.0,0.26,Queensbury,New York,1477.0,180000.0
for_sale,3.0,3.0,0.04,Flushing,New York,1224.0,966000.0
for_sale,3.0,2.0,0.31,Metuchen,New Jersey,1762.0,550000.0
for_sale,3.0,2.0,2.57,Pittsford,Vermont,2960.0,339900.0
for_sale,3.0,2.0,0.22,Garrison,New York,1696.0,549000.0
for_sale,6.0,2.0,0.26,Carolina,Puerto Rico,4300.0,140000.0
for_sale,4.0,2.0,19.35,Parish,New York,1512.0,143000.0
for_sale,3.0,2.0,0.11,Buffalo,New York,1387.0,209900.0
for_sale,3.0,3.0,1.03,Center Moriches,New York,2100.0,619000.0
for_sale,3.0,2.0,0.1,Hamilton,New Jersey,1436.0,319000.0
for_sale,5.0,5.0,1.07,Newry,Maine,5160.0,2995000.0
for_sale,3.0,2.0,0.75,Grafton,New Hampshire,1110.0,249000.0
for_sale,3.0,1.0,0.02,Boston,Massachusetts,1024.0,590000.0
for_sale,2.0,1.0,0.25,Kingston,New York,1390.0,249000.0
for_sale,3.0,2.0,0.88,Naugatuck,Connecticut,1247.0,290000.0
for_sale,3.0,3.0,4.68,Peterborough,New Hampshire,2434.0,525000.0
for_sale,2.0,3.0,1.6,Sag Harbor,New York,1200.0,1050000.0
for_sale,5.0,2.0,0.83,Windsor,Connecticut,2243.0,269900.0
for_sale,4.0,4.0,0.21,Great Neck,New York,3200.0,1499000.0
for_sale,3.0,1.0,4.4,Goshen,New York,1000.0,189900.0
for_sale,3.0,3.0,0.06,Woodhaven,New York,3108.0,850000.0
for_sale,3.0,3.0,0.14,Holyoke,Massachusetts,1978.0,289000.0
for_sale,6.0,2.0,0.11,Albany,New York,2704.0,325000.0
for_sale,2.0,1.0,0.99,Vernon,Connecticut,1163.0,210000.0
for_sale,4.0,4.0,49.5,Red Hook,New York,4700.0,1795000.0
for_sale,18.0,6.0,0.22,Hartford,Connecticut,6912.0,650000.0
for_sale,5.0,2.0,0.06,Astoria,New York,2080.0,1500000.0
for_sale,2.0,1.0,0.31,Edison,New Jersey,1296.0,350000.0
for_sale,3.0,3.0,0.34,Somers Point,New Jersey,1416.0,299000.0
for_sale,6.0,3.0,0.14,Harrison,New York,2662.0,925000.0
for_sale,4.0,2.0,0.07,Albany,New York,1636.0,180000.0
for_sale,6.0,5.0,0.1,East Orange,New Jersey,19998.0,680000.0
for_sale,3.0,2.0,0.37,Ulysses,New York,1260.0,248000.0
for_sale,4.0,2.0,0.3,Barnet,Vermont,3729.0,249900.0
for_sale,2.0,1.0,0.16,Syracuse,New York,1249.0,99900.0
for_sale,5.0,4.0,1.5,Goshen,New York,3365.0,819900.0
for_sale,4.0,3.0,0.75,Pelham,New Hampshire,2659.0,730000.0
for_sale,3.0,2.0,0.55,East Greenbush,New York,1784.0,324900.0
for_sale,3.0,2.0,0.99,Hoosick Falls,New York,2056.0,199000.0
for_sale,5.0,2.0,0.06,Somerville,Massachusetts,2131.0,819900.0
for_sale,4.0,3.0,0.17,Tinton Falls,New Jersey,2459.0,619900.0
for_sale,4.0,2.0,0.5,Greenville,New York,1560.0,264000.0
for_sale,5.0,2.0,0.13,Arecibo,Puerto Rico,1500.0,135000.0
for_sale,3.0,2.0,75119.0,Schenectady,New York,1644.0,189900.0
for_sale,3.0,3.0,0.6,Barre,Vermont,3062.0,489500.0
for_sale,3.0,2.0,1.9,Coxsackie,New York,1672.0,312000.0
for_sale,4.0,4.0,0.5,Mendham Township,New Jersey,3536.0,1050000.0
for_sale,3.0,3.0,4.0,Washingtonville,New York,1785.0,400000.0
for_sale,3.0,2.0,0.09,Schenectady,New York,986.0,10000.0
for_sale,12.0,3.0,0.15,Boston,Massachusetts,4662.0,1500000.0
for_sale,4.0,3.0,0.5,Stamford,New York,3963.0,179000.0
for_sale,2.0,2.0,0.09,Baldwin,New York,1025.0,489000.0
for_sale,6.0,2.0,0.23,Troy,New York,2852.0,150000.0
for_sale,7.0,3.0,5.0,Herkimer,New York,3251.0,269000.0
for_sale,4.0,2.0,0.15,Colonia,New Jersey,1152.0,415000.0
for_sale,9.0,3.0,0.11,Woonsocket,Rhode Island,3503.0,299900.0
for_sale,11.0,4.0,0.11,Norwich,Connecticut,3724.0,149900.0
for_sale,4.0,2.0,0.33,Sand Lake,New York,1448.0,125000.0
for_sale,7.0,9.0,0.92,Water Mill,New York,5200.0,6995000.0
for_sale,2.0,2.0,0.02,Boston,Massachusetts,1049.0,1349000.0
for_sale,4.0,2.0,0.08,Albany,New York,1288.0,249900.0
for_sale,5.0,2.0,0.04,Richmond Hill,New York,1928.0,650000.0
for_sale,4.0,3.0,0.32,White Plains,New York,2658.0,850000.0
for_sale,2.0,2.0,0.11,Freeport,New York,1300.0,549000.0
for_sale,6.0,2.0,0.4,Granville Village,New York,2547.0,159000.0
for_sale,4.0,3.0,0.57,Burlington,Connecticut,1498.0,279900.0
for_sale,2.0,2.0,0.08,Albany,New York,1400.0,187500.0
for_sale,2.0,1.0,0.99,Rochester,Massachusetts,1091.0,399000.0
for_sale,4.0,2.0,0.27,Springfield,Massachusetts,2104.0,259799.0
for_sale,4.0,3.0,0.68,Pennington,New Jersey,2380.0,565000.0
for_sale,3.0,1.0,3.04,Halifax,Massachusetts,2340.0,499900.0
for_sale,3.0,1.0,0.12,Pawtucket,Rhode Island,1161.0,325000.0
for_sale,4.0,3.0,0.25,Halfmoon,New York,2311.0,400400.0
for_sale,4.0,3.0,0.46,Bristol,Connecticut,2345.0,449000.0
for_sale,3.0,2.0,0.27,Catskill,New York,1200.0,425000.0
for_sale,4.0,2.0,0.23,Oriskany,New York,1764.0,239000.0
for_sale,5.0,6.0,4.21,Greenwich,Connecticut,7888.0,4200000.0
for_sale,4.0,4.0,1.97,Clifton Park,New York,2853.0,700000.0
for_sale,4.0,3.0,0.59,Nanuet,New York,2574.0,700000.0
for_sale,3.0,2.0,1.9,Gloversville,New York,2016.0,99000.0
for_sale,2.0,2.0,0.17,Babylon,New York,1200.0,469000.0
for_sale,4.0,2.0,0.32,Colrain,Massachusetts,3780.0,75000.0
for_sale,6.0,2.0,0.17,Hartford,Connecticut,2752.0,309000.0
for_sale,4.0,3.0,0.21,Moorestown,New Jersey,1928.0,475000.0
for_sale,4.0,3.0,6.56,Westport,New York,2096.0,202500.0
for_sale,6.0,3.0,0.57,Poughkeepsie,New York,4747.0,649900.0
for_sale,2.0,1.0,0.09,Toa Baja,Puerto Rico,1035.0,55000.0
for_sale,10.0,2.0,6.43,Vernon Center,New York,4000.0,295000.0
for_sale,3.0,2.0,2.96,Aguada,Puerto Rico,2500.0,575000.0
for_sale,3.0,2.0,0.04,Philadelphia,Pennsylvania,1120.0,199900.0
for_sale,4.0,6.0,11.75,Plainfield,New Hampshire,4490.0,569000.0
for_sale,3.0,2.0,0.12,Westborough,Massachusetts,1047.0,440000.0
for_sale,3.0,2.0,0.15,Fairhaven,Massachusetts,1516.0,349900.0
for_sale,3.0,1.0,0.77,Buchanan,New York,1560.0,399000.0
for_sale,8.0,6.0,0.13,Brooklyn,New York,3814.0,1488888.0
for_sale,3.0,1.0,0.06,Naguabo,Puerto Rico,2723.0,70000.0
for_sale,2.0,2.0,5.67,Monmouth,Maine,1498.0,289000.0
for_sale,3.0,2.0,2.73,Voluntown,Connecticut,1794.0,389900.0
for_sale,3.0,4.0,176.1,Warren,Connecticut,4180.0,3495000.0
for_sale,5.0,3.0,67.33,Stone Ridge,New York,3827.0,2300000.0
for_sale,5.0,2.0,1.1,Cairo,New York,2224.0,300000.0
for_sale,4.0,2.0,0.08,Manasquan,New Jersey,1872.0,1725000.0
for_sale,7.0,2.0,0.05,Bronx,New York,2730.0,749000.0
for_sale,3.0,4.0,0.18,West Hartford,Connecticut,1846.0,399900.0
for_sale,4.0,3.0,0.09,Hillcrest,New York,1600.0,999000.0
for_sale,3.0,2.0,1.21,Hatfield,Massachusetts,1062.0,329000.0
for_sale,3.0,2.0,0.28,Glenville,New York,1534.0,265000.0
for_sale,2.0,1.0,0.02,Boston,Massachusetts,673.0,469900.0
for_sale,3.0,1.0,0.06,Albany,New York,968.0,125000.0
for_sale,4.0,2.0,0.24,Syracuse,New York,1496.0,214900.0
