mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.833060884475708,0.07646372500677914,0.0066067218780517575,0.0004931545837581422,3,0.01,50,"{'depth': 3, 'learning_rate': 0.01, 'n_estimators': 50}",-1791337885733.9736,-1769893679244.3257,-1904995945377.8784,-2012516737639.483,-1701156977913.7036,-1835980245181.8726,109969075556.84747,27
3.0555366039276124,0.027052925565917922,0.00850067138671875,0.0008905548255800288,3,0.01,100,"{'depth': 3, 'learning_rate': 0.01, 'n_estimators': 100}",-1573640631991.242,-1542106670270.7573,-1673666384801.7175,-1765190108982.2073,-1476548366773.1165,-1606230432563.808,101791135725.06436,24
5.689663934707641,0.042752840140307585,0.01061420440673828,0.0008737861883871472,3,0.01,200,"{'depth': 3, 'learning_rate': 0.01, 'n_estimators': 200}",-1393811804540.1367,-1359631084815.616,-1497981932891.6995,-1557557532653.5493,-1297364620625.9373,-1421269395105.388,94196458111.53787,22
1.721111249923706,0.04051612422987909,0.007410192489624023,0.0008064154305615842,3,0.1,50,"{'depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}",-1186137817630.122,-1174622202447.2056,-1370885961053.077,-1335768070038.4321,-1127311123047.7139,-1238945034843.31,96095023152.64001,20
3.052249622344971,0.023562155488546784,0.009402990341186523,0.0018544436725667862,3,0.1,100,"{'depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}",-1037088567927.5352,-1019257810359.4388,-1177776592890.5977,-1164094843761.437,-1005084792782.3163,-1080660521544.265,74529613306.80595,17
5.681129074096679,0.08970135987657703,0.01300506591796875,0.005547011449589442,3,0.1,200,"{'depth': 3, 'learning_rate': 0.1, 'n_estimators': 200}",-909853312733.3214,-902682917380.7909,-944173639353.2831,-1018930133742.8794,-904609200147.4337,-936049840671.5417,44098214492.397026,14
1.7367335319519044,0.0305898402455407,0.00740656852722168,0.0007991436635230635,3,0.2,50,"{'depth': 3, 'learning_rate': 0.2, 'n_estimators': 50}",-1011977042516.3759,-1009801382177.6725,-1115301767600.0342,-1120236479525.4773,-1007526695282.513,-1052968673420.4144,52951061524.18067,16
3.100704002380371,0.05042348379454134,0.008805418014526367,0.0013292522421237754,3,0.2,100,"{'depth': 3, 'learning_rate': 0.2, 'n_estimators': 100}",-906165664785.7859,-889457032375.1791,-909125067114.1736,-997952508879.3721,-918454883115.9778,-924231031254.0977,38031562594.322754,13
5.787418699264526,0.3944548045885311,0.010017824172973634,0.0010600280438256085,3,0.2,200,"{'depth': 3, 'learning_rate': 0.2, 'n_estimators': 200}",-804865218112.3262,-792711007389.5088,-794683741852.1129,-898699335824.1431,-817752628615.4751,-821742386358.7131,39492075795.7326,12
2.2519827842712403,0.03647744994292916,0.00750422477722168,0.00044699517392008027,5,0.01,50,"{'depth': 5, 'learning_rate': 0.01, 'n_estimators': 50}",-1718968340823.4255,-1676668389513.6677,-1820500025371.6558,-1912943296571.1272,-1623640652919.4832,-1750544141039.8718,103755929555.75966,26
3.968768358230591,0.22091523595027904,0.008194303512573243,0.0007357436127048932,5,0.01,100,"{'depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}",-1458276263802.3289,-1413775515842.8867,-1557233459258.8723,-1623488224046.891,-1369305092115.9458,-1484415711013.3848,93345970237.79341,23
7.07030930519104,0.012888346422005972,0.009903335571289062,0.0006611081192630112,5,0.01,200,"{'depth': 5, 'learning_rate': 0.01, 'n_estimators': 200}",-1201685573317.1125,-1182886097844.954,-1313961401169.5693,-1345901468779.4443,-1141649025778.153,-1237216713377.8467,78803025033.69426,19
2.1108375072479246,0.07924970746112672,0.007410097122192383,0.0007989045271277868,5,0.1,50,"{'depth': 5, 'learning_rate': 0.1, 'n_estimators': 50}",-927558523173.3207,-953985340062.6777,-982872680033.2439,-1044599266632.802,-916862702863.9332,-965175702553.1956,45816389816.69818,15
4.019026231765747,0.19384026857420492,0.008612966537475586,0.0005039079768640225,5,0.1,100,"{'depth': 5, 'learning_rate': 0.1, 'n_estimators': 100}",-790098814843.5922,-802921322922.3502,-794926883858.7242,-886623100449.5066,-784180258152.7975,-811750076045.394,37936284559.07538,10
7.681322622299194,0.1853105625183875,0.01113300323486328,0.001052959035888889,5,0.1,200,"{'depth': 5, 'learning_rate': 0.1, 'n_estimators': 200}",-649469197027.0004,-674352569086.6228,-621139068447.5729,-747819981823.9939,-653586680790.4478,-669273499435.1274,42779801223.821785,8
2.8360700607299805,0.691753457242942,0.007207441329956055,0.0008217484509839868,5,0.2,50,"{'depth': 5, 'learning_rate': 0.2, 'n_estimators': 50}",-770591184621.2749,-769342686888.7126,-776157467021.8235,-880848748470.1777,-791847015300.2017,-797757420460.4381,42310899592.780556,9
4.182199478149414,0.24141430239924114,0.008000421524047851,1.5553957395839778e-06,5,0.2,100,"{'depth': 5, 'learning_rate': 0.2, 'n_estimators': 100}",-633063600407.0614,-644073143454.1661,-636751461957.1284,-728474107254.4277,-646158758160.6213,-657704214246.681,35703386624.84053,6
7.879569339752197,0.20099877792348436,0.012612485885620117,0.0022350067844015727,5,0.2,200,"{'depth': 5, 'learning_rate': 0.2, 'n_estimators': 200}",-519404628143.80585,-541201287419.98456,-501066578834.6494,-597124424681.3392,-535847489274.00397,-538928881670.75665,32299010774.71631,4
